ts,cpu_total_pct,mem_used_bytes,mem_total_bytes,proc_rss_bytes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
1760290232.4603388,0.0,6235967488,134892691456,159780864,35829912064,583760393216,434743108030,474350093294
1760290233.0480287,4.1,6354370560,134892691456,163450880,35829934592,583760450560,434743109232,474350094496
1760290233.5492456,4.4,6476005376,134892691456,163450880,35829934592,583760450560,434743272268,474350688929
1760290234.0505464,4.4,6614872064,134892691456,163450880,35829934592,583760450560,434743272589,474350689250
1760290234.5515513,7.3,7666155520,134892691456,163713024,35830731264,583760450560,435921172591,475528611124
1760290235.0527854,14.9,10350555136,134892691456,163713024,35830759936,583760450560,438256995967,477864434500
1760290235.5542905,36.3,12885798912,134892691456,163713024,35830873600,583760450560,440276316059,479887279373
1760290236.0561368,52.4,13764894720,134892691456,164499456,35830907392,583760450560,440789924008,480400887322
1760290236.5575156,51.9,14037372928,134892691456,164499456,35830907392,583760450560,440790067773,480401297862
1760290237.058485,51.5,14041210880,134892691456,164499456,35830907392,583760450560,440790068094,480401298183
1760290237.5593252,51.8,14057472000,134892691456,164499456,35830907392,583760450560,440790090822,480401321610
1760290238.0603561,51.6,14063333376,134892691456,164499456,35830907392,583760892928,440790091143,480401321931
1760290238.561394,51.7,14057472000,134892691456,164499456,35830907392,583760892928,440790118181,480401349184
1760290239.0621176,51.5,14058266624,134892691456,164499456,35830907392,583760892928,440790118502,480401349505
1760290239.5629566,51.9,14055141376,134892691456,164499456,35830907392,583760892928,440790135091,480401366364
1760290240.063853,51.5,14056550400,134892691456,164499456,35830907392,583760892928,440790135412,480401366685
1760290240.5648832,51.6,14051618816,134892691456,164499456,35830907392,583760892928,440790151989,480401383373
1760290241.065889,51.7,14058684416,134892691456,164499456,35830907392,583760892928,440790152310,480401383694
1760290241.566886,51.5,14063329280,134892691456,164499456,35830907392,583760892928,440790169790,480401401838
1760290242.0679371,51.7,14065283072,134892691456,164499456,35830907392,583760892928,440790170111,480401402159
1760290242.5688825,51.6,14066872320,134892691456,164499456,35830907392,583760892928,440790188979,480401421068
1760290243.0699565,52.0,14067752960,134892691456,164499456,35830907392,583761318912,440790189300,480401421389
1760290243.570872,51.7,14074163200,134892691456,164499456,35830907392,583761318912,440790210324,480401442730
1760290244.071729,52.0,14080475136,134892691456,164499456,35830907392,583761318912,440790210645,480401443051
1760290244.5726898,52.1,14081888256,134892691456,164499456,35830907392,583761318912,440790228659,480401461525
1760290245.0735428,51.6,14086479872,134892691456,164499456,35830907392,583761318912,440790229916,480401462782
1760290245.5743825,52.1,14091931648,134892691456,164499456,35830907392,583761318912,440790248696,480401481562
1760290246.0752475,51.5,14095650816,134892691456,164499456,35830907392,583761318912,440790251861,480401485139
1760290246.5761304,52.1,14093795328,134892691456,164499456,35830907392,583761318912,440790267313,480401500591
1760290247.0770142,51.5,14102769664,134892691456,164499456,35830907392,583761318912,440790269071,480401502630
1760290247.577848,51.7,14103891968,134892691456,164499456,35830907392,583761318912,440790284798,480401518357
1760290248.078696,52.0,14103887872,134892691456,164499456,35830907392,583761318912,440790286581,480401519942
1760290248.579542,51.7,14105509888,134892691456,164499456,35830907392,583761318912,440790306388,480401539749
1760290249.0804977,52.0,14111014912,134892691456,164499456,35830907392,583761318912,440790307475,480401541021
1760290249.5814776,51.7,14120808448,134892691456,164499456,35830907392,583761318912,440790322927,480401556473
1760290250.0823307,52.3,14136819712,134892691456,164499456,35830907392,583761318912,440790324739,480401558578
1760290250.5834336,51.7,14124765184,134892691456,164499456,35830907392,583761318912,440790340191,480401574030
