worker,nthreads,memory_limit,memory_used,task_count
tcp://127.0.0.1:33075,1,6442450944,151498752,0
tcp://127.0.0.1:33441,1,6442450944,150827008,0
tcp://127.0.0.1:33447,1,6442450944,150388736,0
tcp://127.0.0.1:34083,1,6442450944,151146496,0
tcp://127.0.0.1:34929,1,6442450944,152944640,0
